,week_ending,prime_item_nbr,pos_qty,pos_sales,aur_price,traited_pods,valid_pods,OOS_pods,OOS_pct_pods,hist_on_hand_qty,net_ship_qty,flagged_active_pod,pos_qty_per_pod,pos_sales_per_pod,mf_training_data
64,2021-02-19,8275753,1.0,9.88,9.88000000000000000000,0,0,0,0E-18,,,1,1.000000000000000000,9.88000000000000000000,0
65,2021-01-01,585143163,220.0,4176.16,18.98254545454545454545,0,0,13,0.074285714285714286,1836.00,,175,1.257142857142857143,23.86377142857142857143,1
66,2021-07-30,585476447,436.0,2453.62,5.62756880733944954128,0,0,24,0.138728323699421965,2796.00,,173,2.520231213872832370,14.18277456647398843931,1
67,2021-01-01,578448286,10.0,94.92,9.49200000000000000000,0,0,0,0E-18,85.00,,4,2.500000000000000000,23.73000000000000000000,0
68,2021-11-26,578432851,17.0,72.49,4.26411764705882352941,0,0,2,0.166666666666666667,165.00,,12,1.416666666666666667,6.04083333333333333333,0
69,2020-06-19,553737439,1.0,2.50,2.50000000000000000000,0,0,0,0E-18,,,1,1.000000000000000000,2.50000000000000000000,0
70,2021-07-30,597353781,393.0,13395.06,34.08412213740458015267,1510,1510,32,0.020163831127914304,10683.00,144.00,1587,0.247637051039697543,8.44049149338374291115,1
71,2022-02-18,580028487,4964.0,28891.44,5.82019339242546333602,3699,3691,29,0.007816711590296496,63681.00,2184.00,3710,1.338005390835579515,7.78745013477088948787,1
72,2021-10-15,554052411,2.0,10.00,5.00000000000000000000,0,0,1,1.000000000000000000,0.00,,1,2.000000000000000000,10.00000000000000000000,0
73,2021-04-30,565670388,6.0,58.00,9.66666666666666666667,0,0,0,0E-18,13.00,,3,2.000000000000000000,19.33333333333333333333,0
74,2020-07-24,556710451,2.0,17.50,8.75000000000000000000,0,0,1,0.500000000000000000,-2.00,,2,1.000000000000000000,8.75000000000000000000,0
